rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size
601–800,Kingston UniversityUnited Kingdom,17342,21.5,36%,55 : 45,25.1,18.8,15.6,26.4,32.2,80.2,large
601–800,K.N. Toosi University of TechnologyIran,7079,23.0,,33 : 67,21.9,19.4,18.5,27.0,47.4,16.7,medium
601–800,Kobe UniversityJapan,15751,7.8,7%,34 : 66,25.7,30.3,19.3,26.5,38.9,24.8,large
601–800,Kochi UniversityJapan,5584,8.4,1%,46 : 54,22.5,20.1,9.4,36.0,37.6,25.8,medium
601–800,Kumamoto UniversityJapan,10214,7.8,6%,37 : 63,22.1,24.8,13.6,24.9,43.8,26.4,medium
601–800,Kuwait UniversityKuwait,37752,24.0,13%,72 : 28,22.7,19.1,8.8,27.1,35.3,70.8,large
601–800,Kyungpook National UniversitySouth Korea,27162,18.2,4%,42 : 58,22.2,22.1,19.6,22.9,39.0,24.5,large
601–800,University of La LagunaSpain,20248,14.0,4%,57 : 43,29.9,18.1,9.7,57.5,32.4,46.6,large
601–800,Leeds Beckett UniversityUnited Kingdom,20122,20.8,14%,50 : 50,24.5,16.8,11.1,39.5,32.2,46.8,large
601–800,University of LincolnUnited Kingdom,10874,16.0,16%,56 : 44,23.5,17.0,12.1,30.1,32.8,65.5,medium
601–800,University of LjubljanaSlovenia,42922,15.8,4%,60 : 40,27.1,25.7,16.1,35.8,35.6,38.5,large
601–800,Manchester Metropolitan UniversityUnited Kingdom,26686,15.3,15%,58 : 42,23.5,19.1,11.8,29.9,32.0,59.4,large
601–800,University of MariborSlovenia,13197,15.4,4%,54 : 46,28.7,18.9,15.3,49.0,39.2,36.7,medium
601–800,Marquette UniversityUnited States,10664,12.4,5%,52 : 48,25.9,35.1,12.7,30.0,34.6,22.0,medium
601–800,Middle East Technical UniversityTurkey,26739,26.3,7%,44 : 56,28.1,28.6,20.6,31.9,61.2,29.4,large
601–800,University of MinhoPortugal,18257,18.4,10%,54 : 46,29.8,23.2,22.8,35.8,67.6,47.3,large
601–800,Mississippi State UniversityUnited States,38420,28.6,4%,50 : 50,25.9,19.0,15.8,42.9,34.9,23.1,large
601–800,Monterrey Institute of Technology and Higher EducationMexico,14003,17.2,13%,40 : 60,28.2,24.3,14.8,31.9,80.1,65.4,medium
601–800,University of MurciaSpain,30623,15.3,6%,61 : 39,22.8,20.1,12.4,32.1,33.0,34.7,large
601–800,Nagoya City UniversityJapan,4317,8.0,3%,52 : 48,22.9,23.1,12.5,32.2,42.8,19.5,small
601–800,Nanjing Agricultural UniversityChina,26301,16.1,1%,56 : 44,27.1,23.0,16.2,43.1,42.9,18.0,large
601–800,Nanjing Medical UniversityChina,12783,9.1,5%,,27.8,24.9,22.6,37.6,32.8,19.5,medium
601–800,Nanjing Normal UniversityChina,26714,14.6,3%,68 : 32,23.7,19.9,10.2,40.2,47.3,18.4,large
601–800,Nanjing Tech UniversityChina,30098,17.9,1%,,23.6,17.7,12.0,39.4,62.0,18.0,large
601–800,National Autonomous University of MexicoMexico,145024,12.1,6%,51 : 49,29.3,34.4,29.4,19.4,57.3,39.3,large
601–800,National Central UniversityTaiwan,10859,9.5,10%,34 : 66,25.1,25.0,23.3,20.9,67.2,35.1,medium
601–800,National Chengchi UniversityTaiwan,15555,16.9,13%,59 : 41,21.8,23.0,24.5,11.5,34.0,42.8,large
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)France,6029,8.5,30%,32 : 68,30.4,25.7,12.6,39.0,62.8,75.3,medium
601–800,National Institute of Technology RourkelaIndia,5746,19.1,4%,25 : 75,28.0,25.3,13.9,47.4,33.3,15.5,medium
601–800,National University of Science and Technology (MISiS)Russian Federation,7236,9.2,24%,41 : 59,25.6,22.0,20.1,24.2,60.1,56.3,medium
601–800,National University of Sciences and TechnologyPakistan,10373,8.0,3%,33 : 67,24.3,20.3,8.7,39.9,32.6,37.0,medium
601–800,National Sun Yat-Sen UniversityTaiwan,9013,15.7,5%,37 : 63,26.9,24.4,28.1,26.4,46.8,27.9,medium
601–800,National Yang-Ming UniversityTaiwan,4255,5.0,2%,48 : 52,30.3,37.8,18.0,37.7,34.8,18.6,small
601–800,New Mexico State UniversityUnited States,13670,16.7,8%,53 : 47,30.4,22.8,9.0,57.7,36.4,35.2,medium
601–800,University of North Carolina at GreensboroUnited States,17774,23.9,3%,66 : 34,27.5,22.9,20.2,41.0,33.0,19.1,large
601–800,Northeast Normal UniversityChina,24802,15.6,1%,64 : 36,26.0,22.7,5.8,51.2,33.5,16.4,large
601–800,University of Northern British Columbia (UNBC)Canada,2752,11.4,10%,60 : 40,24.2,20.2,13.1,34.6,36.6,38.9,small
601–800,Northwestern Polytechnical UniversityChina,26904,14.2,3%,26 : 74,24.5,23.9,29.7,17.2,76.4,18.4,large
601–800,Nottingham Trent UniversityUnited Kingdom,23045,16.9,18%,56 : 44,24.7,18.3,11.4,35.1,32.0,60.0,large
601–800,Okayama UniversityJapan,13115,7.9,4%,38 : 62,23.0,25.4,15.4,26.4,45.9,22.5,medium
601–800,Old Dominion UniversityUnited States,19148,19.7,3%,54 : 46,30.2,24.2,18.2,51.0,1.7,28.8,large
601–800,Osaka City UniversityJapan,8386,9.1,4%,36 : 64,22.2,25.2,13.9,26.0,38.7,22.4,medium
601–800,Otto von Guericke University of MagdeburgGermany,14248,12.2,14%,42 : 58,30.1,23.4,12.8,47.3,41.6,52.9,medium
601–800,University of OviedoSpain,23806,13.4,2%,47 : 53,30.1,27.0,13.5,49.1,34.1,31.9,large
601–800,Palacký University OlomoucCzech Republic,18332,11.4,10%,69 : 31,27.9,19.3,12.2,45.0,32.5,54.6,large
601–800,Panjab UniversityIndia,17046,22.6,1%,46 : 54,29.4,27.1,8.6,55.5,31.8,16.0,large
601–800,University of PatrasGreece,24989,33.9,5%,49 : 51,24.4,19.1,12.4,37.2,45.1,35.7,large
601–800,University of PécsHungary,16396,12.6,17%,57 : 43,26.0,19.4,10.1,39.3,46.9,55.3,large
601–800,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,16775,6.8,20%,43 : 57,26.2,28.5,14.8,27.3,53.0,48.8,large
601–800,University of the PhilippinesPhilippines,51086,11.2,1%,61 : 39,25.0,20.5,10.0,40.0,32.6,39.8,large
601–800,Pontifical Catholic University of PeruPeru,27013,17.0,3%,48 : 52,23.0,15.4,5.2,40.6,31.7,51.3,large
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,15638,22.0,3%,51 : 49,27.1,27.5,23.1,21.5,99.8,40.3,large
601–800,Portland State UniversityUnited States,21207,15.9,9%,54 : 46,29.0,20.4,15.4,49.4,39.6,32.0,large
601–800,University of PretoriaSouth Africa,36005,24.1,8%,56 : 44,29.8,25.7,26.5,29.3,63.5,49.9,large
601–800,Pusan National UniversitySouth Korea,25464,19.7,11%,46 : 54,29.3,27.1,27.9,28.8,63.1,34.9,large
601–800,Universiti Putra MalaysiaMalaysia,25929,12.9,18%,44 : 56,25.7,26.6,23.7,17.2,36.0,61.1,large
601–800,University of ReginaCanada,12178,22.2,15%,60 : 40,24.3,16.9,6.2,42.5,32.5,51.2,medium
601–800,Rochester Institute of TechnologyUnited States,13784,16.2,17%,35 : 65,27.4,20.1,17.7,41.2,33.6,37.9,medium
601–800,University of RoehamptonUnited Kingdom,7169,17.6,28%,73 : 27,22.5,18.8,19.2,16.2,32.1,72.0,medium
601–800,Universiti Sains MalaysiaMalaysia,25975,12.9,8%,63 : 37,23.9,32.2,17.7,15.0,38.4,45.8,large
601–800,University of SalamancaSpain,30943,18.5,14%,58 : 42,26.6,24.8,13.7,35.5,33.5,47.7,large
601–800,University of SalfordUnited Kingdom,15790,16.6,26%,52 : 48,23.3,21.2,14.3,22.0,32.6,69.9,large
601–800,Samara State Aerospace UniversityRussian Federation,6314,9.0,6%,,26.4,33.6,10.4,34.9,51.3,19.4,medium
601–800,University of Santiago de CompostelaSpain,27573,15.9,8%,62 : 38,29.4,20.9,15.0,48.2,35.2,44.2,large
601–800,São Paulo State University (UNESP)Brazil,44059,13.3,3%,49 : 51,22.9,33.7,21.6,12.7,33.1,22.2,large
601–800,Savitribai Phule Pune UniversityIndia,6155,15.9,3%,41 : 59,22.5,38.9,7.2,21.6,34.4,18.3,medium
601–800,University of Science and Technology BeijingChina,24384,15.8,3%,36 : 64,21.9,25.6,22.2,16.0,60.1,17.4,large
601–800,University of SeoulSouth Korea,8902,17.0,5%,35 : 65,21.5,24.9,15.5,22.2,33.9,25.0,medium
601–800,University of SevilleSpain,54413,18.5,2%,49 : 51,25.3,20.9,15.4,35.7,42.8,34.7,large
601–800,Shanghai UniversityChina,36461,13.5,5%,46 : 54,21.5,20.6,15.9,25.5,45.7,23.5,large
601–800,Shantou UniversityChina,9857,12.0,,50 : 50,23.6,18.6,10.5,38.3,34.2,33.6,medium
601–800,Sharif University of TechnologyIran,11228,17.9,,26 : 74,30.5,25.5,26.5,36.7,96.4,19.6,medium
601–800,Sichuan UniversityChina,60848,13.9,4%,50 : 50,27.4,30.6,24.5,25.2,71.2,20.7,large
601–800,Sogang UniversitySouth Korea,9440,21.5,7%,43 : 57,27.6,27.2,28.3,25.4,48.7,28.6,medium
601–800,University of Southern QueenslandAustralia,11921,25.9,19%,57 : 43,25.3,21.9,16.5,26.0,33.1,69.1,medium
601–800,University of South WalesUnited Kingdom,17332,17.0,19%,51 : 49,24.6,16.5,9.0,38.5,32.3,61.1,large
601–800,Suranaree University of TechnologyThailand,14107,32.6,1%,54 : 46,23.1,21.9,10.1,33.6,40.6,32.2,medium
601–800,University of SzegedHungary,20864,13.1,12%,57 : 43,24.3,20.4,10.8,34.0,35.4,51.7,large
601–800,University of TabrizIran,22421,30.2,,51 : 49,24.7,25.0,14.6,35.2,41.2,16.0,large
601–800,Taipei Medical UniversityTaiwan,5929,12.1,7%,57 : 43,30.0,25.2,26.4,32.1,99.6,31.4,medium
601–800,Tallinn University of TechnologyEstonia,10921,21.2,10%,52 : 48,24.3,17.9,11.8,34.9,45.5,50.7,medium
601–800,Technical University of MadridSpain,40371,13.6,12%,32 : 68,26.1,23.8,13.6,34.8,43.0,45.0,large
601–800,University of Technology of CompiègneFrance,4321,15.4,24%,36 : 64,29.1,23.0,9.5,41.6,38.1,79.1,small
601–800,Teesside UniversityUnited Kingdom,11095,18.1,12%,56 : 44,23.7,16.5,9.3,38.6,32.0,48.0,medium
601–800,University of TehranIran,59457,29.4,2%,43 : 57,26.7,31.1,21.7,28.2,31.7,21.4,large
601–800,Tehran University of Medical SciencesIran,12668,7.6,3%,60 : 40,26.1,44.2,14.0,21.4,35.6,17.7,medium
601–800,Universiti Teknologi MalaysiaMalaysia,18214,10.5,14%,52 : 48,27.1,31.1,20.4,22.7,38.6,51.1,large
601–800,Universiti Teknologi PetronasMalaysia,5875,15.3,22%,34 : 66,25.5,22.4,23.4,16.1,87.5,63.6,medium
601–800,University of Texas at El PasoUnited States,16595,23.8,7%,53 : 47,26.1,20.9,20.6,33.9,31.7,35.7,large
601–800,Tezpur UniversityIndia,3611,13.8,,40 : 60,30.0,31.4,26.1,36.6,31.9,13.2,small
601–800,Tokyo University of Agriculture and TechnologyJapan,5797,14.8,6%,28 : 72,23.9,26.1,22.6,21.3,44.1,23.4,medium
601–800,Tokyo University of ScienceJapan,19791,25.1,1%,20 : 80,23.2,23.2,24.9,21.7,37.4,18.0,large
601–800,University of VigoSpain,19472,16.6,6%,50 : 50,23.1,19.4,12.2,32.2,35.7,40.3,large
601–800,Vilnius UniversityLithuania,17364,12.3,6%,61 : 39,25.4,20.1,13.5,35.6,40.0,47.9,large
601–800,Warsaw University of TechnologyPoland,31101,13.0,5%,37 : 63,24.8,19.9,9.8,44.1,36.2,23.4,large
601–800,Waseda UniversityJapan,49840,15.8,8%,36 : 64,28.8,31.0,22.1,31.3,35.6,34.2,large
601–800,University of the West of EnglandUnited Kingdom,20468,18.3,19%,53 : 47,24.2,17.0,14.0,32.6,32.4,57.5,large
601–800,University of the Western CapeSouth Africa,20382,31.6,9%,60 : 40,27.1,18.8,17.6,35.9,33.3,60.8,large
601–800,University of WestminsterUnited Kingdom,17040,20.1,46%,59 : 41,27.1,19.8,15.0,32.2,32.1,82.2,large
601–800,University of WindsorCanada,15227,19.1,17%,52 : 48,23.0,19.3,15.0,26.6,34.9,50.8,large
601–800,Yeungnam UniversitySouth Korea,20532,14.7,4%,49 : 51,23.8,19.1,11.7,37.3,39.4,32.2,large
601–800,Yokohama City UniversityJapan,4889,3.5,2%,55 : 45,23.5,26.2,6.5,37.8,37.5,19.1,small
601–800,University of ZaragozaSpain,29924,11.2,6%,55 : 45,28.8,20.5,12.3,50.8,37.1,37.6,large
801–1000,University of A CoruñaSpain,15735,11.9,2%,51 : 49,19.4,19.1,11.2,23.7,34.3,30.6,large
801–1000,Adam Mickiewicz UniversityPoland,40412,14.9,2%,69 : 31,19.0,18.7,11.6,22.8,32.3,30.5,large
801–1000,"University of Agriculture, FaisalabadPakistan",19736,32.9,,41 : 59,17.9,17.7,12.4,20.2,31.9,27.1,large
801–1000,Ain Shams UniversityEgypt,131200,13.5,2%,61 : 39,16.3,21.1,8.2,13.5,33.0,34.9,large
801–1000,Ajou UniversitySouth Korea,11629,10.2,4%,34 : 66,20.3,22.0,8.2,27.7,45.9,23.7,medium
801–1000,Akdeniz UniversityTurkey,33904,26.3,2%,45 : 55,17.1,16.2,15.6,12.3,99.7,18.4,large
801–1000,Alexandria UniversityEgypt,166350,26.9,4%,53 : 47,18.8,16.8,7.9,23.9,33.4,44.5,large
801–1000,Alexandru Ioan Cuza UniversityRomania,23476,17.7,6%,63 : 37,18.1,22.0,9.3,17.2,31.8,36.7,large
801–1000,University of AlicanteSpain,28005,19.5,7%,57 : 43,20.8,18.5,11.8,26.5,34.1,38.3,large
801–1000,University of AlmeríaSpain,12315,18.4,7%,57 : 43,19.7,18.0,11.2,25.3,33.9,33.8,medium
801–1000,Amrita Vishwa VidyapeethamIndia,14233,11.9,13%,,19.3,21.6,9.5,17.0,52.5,47.0,medium
801–1000,Andhra UniversityIndia,9632,19.2,3%,42 : 58,16.1,33.6,8.8,4.3,35.4,16.3,medium
801–1000,Andrés Bello University (UNAB)Chile,44906,26.1,1%,52 : 48,18.3,14.3,6.7,26.0,31.9,45.0,large
801–1000,Annamalai UniversityIndia,33028,16.2,2%,35 : 65,15.7,22.8,7.7,17.1,32.0,7.9,large
801–1000,University of AntioquiaColombia,39524,23.1,,50 : 50,21.1,18.1,21.7,17.5,38.7,38.8,large
801–1000,"Asia University, TaiwanTaiwan",12514,30.7,2%,56 : 44,20.4,16.6,21.2,19.8,51.4,23.9,medium
801–1000,Assiut UniversityEgypt,60170,33.0,1%,41 : 59,15.9,20.0,6.8,15.2,1.1,43.9,large
801–1000,Austral University of ChileChile,14423,16.7,2%,49 : 51,20.5,17.4,10.9,24.4,42.8,48.5,medium
801–1000,Bandung Institute of Technology (ITB)Indonesia,16786,11.5,2%,40 : 60,16.6,20.8,11.8,8.1,83.0,31.0,large
801–1000,Bauman Moscow State Technical UniversityRussian Federation,19394,4.0,7%,30 : 70,21.0,39.8,16.3,4.6,52.5,20.0,large
801–1000,Beijing Jiaotong UniversityChina,24610,13.7,6%,41 : 59,19.9,22.2,21.9,11.9,58.2,22.5,large
801–1000,Belarusian State UniversityBelarus,27384,9.1,9%,69 : 31,18.0,21.0,9.9,11.9,43.1,54.8,large
801–1000,"Birla Institute of Technology and Science, PilaniIndia",12502,17.5,,21 : 79,19.6,18.7,7.9,31.9,32.6,16.2,medium
801–1000,University of BrasíliaBrazil,51179,19.3,2%,51 : 49,19.6,23.4,12.4,19.1,31.7,31.2,large
801–1000,Brno University of TechnologyCzech Republic,22278,21.4,19%,28 : 72,21.3,19.1,13.6,24.0,40.1,43.7,large
801–1000,University of BucharestRomania,31234,23.4,2%,69 : 31,17.6,22.7,6.5,17.1,31.8,39.5,large
801–1000,Budapest University of Technology and EconomicsHungary,20258,19.6,3%,31 : 69,21.2,17.7,12.8,29.0,45.3,29.7,large
801–1000,Cairo UniversityEgypt,252095,46.2,2%,48 : 52,19.9,21.5,11.4,22.6,33.0,32.9,large
801–1000,University of CalcuttaIndia,18922,36.0,,50 : 50,20.1,33.3,13.3,14.0,33.5,14.6,large
801–1000,"California Polytechnic State University, San Luis ObispoUnited States",18838,20.5,2%,47 : 53,20.4,16.6,7.0,33.3,37.0,32.4,large
801–1000,University of Castilla-La ManchaSpain,24174,14.3,5%,56 : 44,20.5,18.1,10.4,28.7,33.7,33.3,large
801–1000,Catholic University of the NorthChile,11187,20.2,1%,45 : 55,16.8,16.3,11.7,12.5,33.2,51.1,medium
801–1000,Central University of VenezuelaVenezuela,48426,14.7,1%,57 : 43,16.4,16.4,7.3,18.9,31.9,37.6,large
801–1000,University of Cergy-PontoiseFrance,18125,9.4,15%,64 : 36,20.5,19.4,9.3,20.8,35.1,63.2,large
801–1000,Chiang Mai UniversityThailand,35809,16.9,1%,62 : 38,19.9,21.0,12.8,19.8,49.7,34.7,large
801–1000,China University of Mining and TechnologyChina,43095,18.1,1%,28 : 72,17.8,20.0,15.0,15.9,57.9,14.8,large
801–1000,"China University of Petroleum, BeijingChina",15133,18.8,5%,,21.2,22.0,22.9,12.8,99.6,19.0,large
801–1000,Chongqing UniversityChina,49391,17.6,3%,,20.2,19.2,17.8,20.8,58.8,19.0,large
801–1000,Chungnam National UniversitySouth Korea,22674,22.2,3%,34 : 66,19.1,23.2,18.3,13.1,43.9,21.9,large
801–1000,Chung Yuan Christian UniversityTaiwan,15769,31.7,9%,42 : 58,19.9,16.8,23.9,15.0,42.2,28.5,large
801–1000,Chuo UniversityJapan,26870,37.6,3%,34 : 66,18.5,26.4,8.8,18.4,34.4,21.2,large
801–1000,Cochin University of Science and TechnologyIndia,8168,32.0,,36 : 64,15.7,26.5,12.3,7.2,32.3,15.2,medium
801–1000,University of ColomboSri Lanka,22826,32.1,,59 : 41,16.6,25.0,7.9,12.9,0.6,38.2,large
801–1000,University of ConcepciónChile,26682,17.9,1%,50 : 50,20.3,17.1,13.5,20.4,57.2,47.6,large
801–1000,Corvinus University of BudapestHungary,13724,25.0,12%,55 : 45,17.4,16.9,9.5,18.0,32.0,43.7,medium
801–1000,University of Costa RicaCosta Rica,30436,10.3,2%,53 : 47,16.9,18.2,6.9,19.1,0.6,48.2,large
801–1000,Czech University of Life Sciences Prague (CULS)Czech Republic,17077,20.6,18%,54 : 46,19.1,18.7,12.1,12.1,47.7,66.9,large
801–1000,University of DebrecenHungary,27519,18.2,14%,57 : 43,19.7,18.8,3.4,27.5,40.4,50.1,large
801–1000,Del Rosario UniversityColombia,8458,11.3,3%,,19.6,17.7,8.1,25.6,31.9,45.7,medium
801–1000,University of DerbyUnited Kingdom,12217,15.0,14%,55 : 45,21.2,16.4,8.5,29.5,32.4,54.4,medium
801–1000,Ehime UniversityJapan,9526,12.8,3%,37 : 63,18.4,20.9,13.0,17.9,38.6,24.9,medium
801–1000,The University of Electro-CommunicationsJapan,4982,16.6,5%,10 : 90,20.1,20.4,19.8,17.1,36.3,27.0,small
801–1000,University of Electronic Science and Technology of ChinaChina,34052,16.2,1%,23 : 77,20.3,19.6,14.3,21.4,86.9,20.0,large
801–1000,Erciyes UniversityTurkey,35263,25.3,2%,47 : 53,18.3,17.0,11.0,21.8,71.2,20.8,large
801–1000,Federal University of Ceará (UFC)Brazil,34084,16.3,,47 : 53,17.5,22.1,9.1,18.8,33.0,22.1,large
801–1000,Federal University of PelotasBrazil,17882,13.7,1%,51 : 49,19.9,18.3,8.1,35.0,1.1,19.7,large
801–1000,Federal University of PernambucoBrazil,32408,12.7,1%,50 : 50,16.8,23.2,9.1,14.6,47.0,20.4,large
801–1000,Federal University of Rio Grande do Norte (UFRN)Brazil,42613,19.3,,54 : 46,15.8,19.9,8.3,15.8,42.1,20.6,large
801–1000,Federal University of Santa CatarinaBrazil,34183,14.2,2%,48 : 52,20.7,25.0,10.6,23.6,38.4,26.1,large
801–1000,Federal University of São CarlosBrazil,18145,14.5,2%,49 : 51,18.5,25.5,12.0,15.9,32.3,22.4,large
801–1000,Feng Chia UniversityTaiwan,21014,24.8,12%,37 : 63,20.8,17.1,15.9,25.0,37.6,32.2,large
801–1000,Ferdowsi University of MashhadIran,23211,28.4,4%,57 : 43,19.7,22.9,14.7,20.1,35.8,20.2,large
801–1000,University of La FronteraChile,10157,24.7,,44 : 56,16.9,16.5,9.1,17.2,32.2,43.5,medium
801–1000,Fu Jen Catholic UniversityTaiwan,23154,19.3,7%,58 : 42,19.7,17.9,13.3,24.6,45.3,24.7,large
801–1000,Universitas Gadjah MadaIndonesia,42398,12.4,1%,53 : 47,18.7,18.9,10.4,18.1,60.6,38.9,large
801–1000,Gdańsk University of TechnologyPoland,24230,19.9,1%,40 : 60,18.8,16.6,9.5,28.6,37.4,19.1,large
801–1000,University of GhanaGhana,39436,35.1,2%,43 : 57,21.4,17.7,18.3,20.4,34.2,48.4,large
801–1000,Gifu UniversityJapan,7320,8.0,4%,35 : 65,17.2,22.7,10.8,15.5,34.7,21.3,medium
801–1000,Grigore T. Popa University of Medicine and PharmacyRomania,9710,11.7,29%,65 : 35,15.8,20.1,7.1,9.9,32.0,51.2,medium
801–1000,University of GuilanIran,16946,15.1,,55 : 45,17.8,18.0,10.9,24.4,32.0,14.0,large
801–1000,Hallym UniversitySouth Korea,8688,10.1,3%,,16.4,18.8,13.4,14.8,32.9,20.0,medium
801–1000,Hamamatsu University School of MedicineJapan,1198,3.8,2%,49 : 51,18.6,27.5,6.0,21.2,37.2,17.4,small
801–1000,Hosei UniversityJapan,28937,38.5,2%,35 : 65,19.2,17.0,8.0,30.4,32.5,23.2,large
801–1000,Huaqiao UniversityChina,23442,14.9,15%,38 : 62,17.7,16.0,9.0,19.6,38.8,45.3,large
801–1000,University of IbadanNigeria,26783,16.5,1%,47 : 53,16.8,25.9,11.4,7.4,40.3,32.0,large
801–1000,Imam Abdulrahman Bin Faisal UniversitySaudi Arabia,22257,8.8,4%,81 : 19,15.8,20.7,6.3,5.3,32.3,70.8,large
801–1000,University of IndonesiaIndonesia,42854,13.7,5%,59 : 41,20.7,23.9,10.4,18.9,40.8,49.6,large
801–1000,University of IsfahanIran,12473,19.4,1%,59 : 41,18.5,24.8,20.2,9.1,41.4,16.1,medium
801–1000,I-Shou UniversityTaiwan,16705,31.3,11%,46 : 54,17.2,16.1,14.4,15.5,49.0,28.7,large
801–1000,Istanbul UniversityTurkey,96144,45.9,6%,48 : 52,21.0,26.4,18.1,14.9,52.6,24.4,large
801–1000,Iwate UniversityJapan,5713,14.6,2%,37 : 63,16.9,20.7,10.4,16.4,41.7,21.3,medium
801–1000,Izmir Institute of TechnologyTurkey,4211,18.6,4%,46 : 54,21.4,18.8,9.2,32.3,42.4,29.8,small
801–1000,Jamia Millia IslamiaIndia,16710,23.3,1%,33 : 67,21.0,29.2,7.5,25.4,33.8,20.8,large
801–1000,Jiangsu UniversityChina,32350,7.0,4%,47 : 53,17.8,21.5,9.9,16.6,51.5,27.6,large
801–1000,Jikei University School of MedicineJapan,1020,0.6,4%,45 : 55,21.0,25.5,8.6,28.3,35.1,18.6,small
801–1000,Jinan UniversityChina,34016,14.8,25%,60 : 40,20.5,21.4,13.8,19.1,37.2,44.1,large
801–1000,University of JordanJordan,31278,16.0,14%,65 : 35,17.6,19.3,9.1,11.5,34.8,62.8,large
801–1000,Kagoshima UniversityJapan,10577,10.2,3%,38 : 62,18.3,21.2,10.9,20.4,38.6,20.8,medium
801–1000,Kansai Medical UniversityJapan,829,1.1,2%,38 : 62,20.8,26.9,7.0,28.4,32.2,16.8,small
801–1000,Kasetsart UniversityThailand,68505,23.1,1%,61 : 39,15.6,18.4,10.7,10.5,40.4,36.3,large
801–1000,University of KeralaIndia,9593,31.3,1%,65 : 35,18.5,31.5,11.8,12.3,31.8,13.6,medium
801–1000,Khon Kaen UniversityThailand,34661,18.8,2%,63 : 37,17.5,19.8,9.3,16.9,53.5,30.9,large
801–1000,Kindai UniversityJapan,30609,13.0,2%,29 : 71,20.6,15.6,9.4,35.4,37.0,20.4,large
801–1000,King Mongkut’s Institute of Technology LadkrabangThailand,23946,25.0,,52 : 48,17.2,16.8,18.0,10.2,88.6,19.3,large
801–1000,Kitasato UniversityJapan,8555,5.5,,52 : 48,17.8,23.5,8.8,19.6,43.3,15.7,medium
801–1000,Kyoto Institute of TechnologyJapan,4057,13.0,5%,26 : 74,16.1,23.1,13.9,8.0,40.4,20.6,small
801–1000,Kyushu Institute of Technology (Kyutech)Japan,5793,16.0,4%,13 : 87,18.1,20.2,11.9,18.2,46.4,24.8,medium
801–1000,University of LatviaLatvia,12034,14.0,7%,66 : 34,18.2,18.8,9.3,20.0,32.3,40.1,medium
801–1000,Lobachevsky State University of Nizhni NovgorodRussian Federation,18557,8.5,6%,53 : 47,16.9,24.4,11.0,10.7,41.9,27.3,large
801–1000,London South Bank UniversityUnited Kingdom,12270,17.3,35%,55 : 45,17.3,16.4,8.9,12.1,32.7,69.7,medium
801–1000,Mansoura UniversityEgypt,109714,26.5,4%,54 : 46,19.7,17.4,6.5,29.3,40.0,36.2,large
801–1000,Marmara UniversityTurkey,78666,39.5,3%,49 : 51,19.9,19.4,22.7,16.5,31.7,20.5,large
801–1000,University of Marrakech Cadi AyyadMorocco,76560,51.7,1%,42 : 58,19.1,18.1,7.2,25.0,34.1,41.6,large
801–1000,Meiji UniversityJapan,32270,29.1,4%,32 : 68,16.3,16.3,10.0,18.1,53.3,22.0,large
801–1000,Metropolitan Autonomous UniversityMexico,57092,20.1,,47 : 53,17.7,17.0,15.9,16.4,38.9,25.3,large
801–1000,Mie UniversityJapan,7298,12.6,2%,37 : 63,18.0,21.6,13.1,16.4,47.5,19.3,medium
801–1000,University of MiyazakiJapan,5507,8.3,2%,35 : 65,17.2,21.1,8.8,19.4,33.8,21.1,medium
801–1000,Mohammed V University of RabatMorocco,71147,32.5,4%,53 : 47,18.9,24.4,7.9,20.0,37.8,30.0,large
801–1000,Nagaoka University of TechnologyJapan,2341,10.0,12%,11 : 89,17.5,23.0,12.8,11.3,39.1,32.0,small
801–1000,Nagasaki UniversityJapan,8881,6.6,3%,37 : 63,19.7,24.9,12.3,19.2,35.3,25.7,medium
801–1000,Nagoya Institute of TechnologyJapan,5695,16.5,4%,13 : 87,19.3,19.2,18.7,17.1,47.7,20.8,medium
801–1000,University of NairobiKenya,84614,47.3,,38 : 62,18.0,15.1,9.4,21.1,32.2,46.6,large
801–1000,Nara Medical UniversityJapan,1155,3.3,1%,50 : 50,16.7,25.4,9.6,13.8,38.0,14.5,small
801–1000,National Chung Cheng UniversityTaiwan,10925,16.9,4%,39 : 61,18.3,20.2,19.5,13.4,38.3,19.4,medium
801–1000,National University of ColombiaColombia,51432,22.5,1%,36 : 64,16.0,21.0,14.4,6.5,31.9,34.7,large
801–1000,National University of CórdobaArgentina,87926,22.3,1%,62 : 38,16.6,18.3,8.6,20.2,5.0,30.9,large
801–1000,National Dong Hwa UniversityTaiwan,10174,17.5,7%,49 : 51,19.9,18.3,13.7,21.2,60.8,32.0,medium
801–1000,National Research Saratov State UniversityRussian Federation,10544,11.8,4%,60 : 40,17.3,20.6,13.2,13.3,36.3,29.8,medium
801–1000,National University of TainanTaiwan,5996,25.4,3%,56 : 44,20.8,20.6,15.8,26.1,35.3,15.5,medium
801–1000,National Taipei UniversityTaiwan,8563,17.1,4%,55 : 45,18.3,18.0,7.3,27.2,33.8,22.8,medium
801–1000,National Taipei University of TechnologyTaiwan,10288,16.7,5%,27 : 73,21.0,19.0,18.3,19.9,89.6,20.9,medium
